,Site,Stand,Plot,Species,TagID,Treatment.x,Age,Subplot.x,previous.tags,DBH2008,DBH2009,DBH2010,DBH2011,DBH2015,DBH2019,DBH2023,X,liveBA11,liveBA15,liveBA19,liveBA23,X.1,BA2011,BA2015,BA2019,BA2023,X.2,chgBA11_15,chgBA15_19,chgBA19_23,X.3,RBAIyr11_15,RBAIyr15_19,RBAIyr19_23,X.4,deadyr,dead2008.2010,dead2011,dead2015,dead2019,dead2023,notes2008.10,notes2011,notes2015,notes2019,notes2023,X.5,ingrowthyear,ingrowth5x5,Ntrt,Ptrt,plotID.x,Age3,RBAI,Order_Processed,Date_Collected,Stand_Age,Growth_Stage,Treatment.y,Ntrt.y,Ptrt.y,Catrt,Tree_Number,Subplot.y,Shots,Canopy_Locations,Field_Notes,Number_of_Leaves,Total_Fresh_Mass,Total_Leaf_Area,Leaf_Area_for_SLA,Oven_Dry_Mass_with_Bag,Oven_Dry_Bag_Weight,Total_Oven_Dry_Mass,Dry_Mass_Per_Leaf,Leaf_Area,SLA_cm2_g,SLA_m2kg,LDMC_g_g,LDMC,Lab_Notes,Caution,Date.Processed,d15N,d13C,N,propC,CN,Ca,Fe,K,Mg,Mn,P.214,P.178,S,Sr,Zn,Stomatal_Density,Extra_Notes,Former_TagID,Species_ID,Age2,ID,treeID,plotID.y,P178ln,Parea,Narea
93,BEF,C4,1,BE,83,NP,Mid,B3,,NA,11.6,NA,12,13.7,15.7,16.4,NA,113.1,147.4,193.6,211.2,NA,113.1,147.4,193.6,211.2,NA,0.303402778,0.31328254,0.091159885,NA,0.068488028,0.070507077,0.022049895,NA,NA,,,,,,,,,,,,NA,,1,1,C4_1,Mid,0.069498903,227,7/22/2022,Mid,Third,NP,1,1,0,1,B3,2,2,has tags 2470 and 71,12,7.12,659.935,659.935,NA,NA,3.03,0.25,54.99,217.8,21.78,0.43,425.56,tiny holes ,,7/23/2022,-1.28240131,-29.69500877,25.14991079,0.479974708,19.08454913,10.87040399,0.05446012,8.281410925,1.627028104,0.741778556,1.792371031,1.793302174,1.500237014,0.024419471,0.039135088,NA,,,FAGR,Mid,C4_1_NP_BE_12_83,C4_1_BE_83,C4_1,0.58405871,0.082337106,1.154725013
94,BEF,C4,1,BE,976,NP,Mid,B1,,NA,11.5,NA,12.5,15.2,17.1,18.7,NA,122.7,181.5,229.7,274.6,NA,122.7,181.5,229.7,274.6,NA,0.478656,0.265625,0.195889333,NA,0.1027239,0.060660172,0.045737659,NA,NA,,,,,,Tagged in 2009,,,,,,NA,,1,1,C4_1,Mid,0.081532449,229,7/22/2022,Mid,Third,NP,1,1,0,3,B1,2,2,,7,3.22,NA,NA,NA,NA,1.47,0.21,NA,NA,NA,0.46,456.52,,,7/23/2022,-0.616298083,-29.15323603,23.676189,0.485469342,20.50453905,7.128986793,0.043539735,8.610247085,1.367656222,0.528124349,1.053444805,1.042539828,1.163318252,0.024431858,0.041754683,NA,leaf area only measured on 5 leaves. Not accurate,,FAGR,Mid,C4_1_NP_BE_7_976,C4_1_BE_976,C4_1,0.041659878,NA,NA
95,BEF,C4,1,RM,354,NP,Mid,B3,,NA,13.2,NA,14.3,15.7,16.15,16.6,NA,160.6,193.6,204.8,216.4,NA,160.6,193.6,204.8,216.4,NA,0.205389017,0.058146375,0.056503944,NA,0.047808235,0.014229964,0.013836169,NA,NA,,,,,,,,,"Not found, assumed dead",found; est 16.15 2019,,NA,,1,1,C4_1,Mid,0.030856115,230,7/22/2022,Mid,Third,NP,1,1,0,1,B3,2,2,,4,2.75,207.119,207.024,NA,NA,0.99,0.25,51.78,209.12,20.91,0.36,360,"all diseased. Pink, brown, and yellow dots. Chose leaves with least damage",,7/23/2022,missing,NA,23.64959217,0.478804944,20.24580129,9.101935802,0.042306106,12.44912803,1.830288654,0.642976753,2.003678335,1.992993696,0.932860126,0.022481239,0.061281921,NA,,,ACRU,Mid,C4_1_NP_RM_4_354,C4_1_RM_354,C4_1,0.689637878,0.09530383,1.130910108
96,BEF,C4,1,RM,43,NP,Mid,B2,,NA,13.5,NA,14.6,16.2,18.4,20.8,NA,167.4,206.1,265.9,339.8,NA,167.4,206.1,265.9,339.8,NA,0.23118784,0.290047249,0.277882798,NA,0.053370325,0.065740339,0.063219066,NA,NA,,,,,,,,,,,,NA,,1,1,C4_1,Mid,0.059547328,232,7/22/2022,Mid,Third,NP,1,1,0,3,B2,2,2,,9,3.3,229.476,228.661,NA,NA,1.32,0.15,25.5,173.23,17.32,0.4,400,all leaves damaged. Bugs and brown spots. Chose smaller leaves as they were less damaged ,,7/23/2022,-1.888684008,-29.97169412,20.42006589,0.492368653,24.11200118,6.398720861,0.04315736,8.22231087,1.448244543,0.748808453,1.752666937,1.777015611,1.102256042,0.017921783,0.029956485,NA,,,ACRU,Mid,C4_1_NP_RM_9_43,C4_1_RM_43,C4_1,0.574935334,0.102581286,1.178783461
97,BEF,C4,1,RM,986,NP,Mid,A3,17,NA,17.7,NA,18.8,21.1,21.9,22.3,NA,277.6,349.7,376.7,390.6,NA,277.6,349.7,376.7,390.6,NA,0.259648031,0.077266908,0.036863285,NA,0.059405694,0.018780983,0.009091096,NA,NA,,,,,,,,,,,,NA,,1,1,C4_1,Mid,0.03889587,231,7/22/2022,Mid,Third,NP,1,1,0,2,A3,2,2,,13,4.03,265.039,264.738,NA,NA,1.79,0.14,20.39,147.9,14.79,0.44,444.17,all leaves have many tiny brown spots. Chose leaves with least insect disease damage (likely whole tree NAected),,7/23/2022,-1.677995987,-28.86319378,15.95122456,0.495357023,31.05448243,6.650081556,0.037215023,7.751821605,1.643015369,0.425921976,1.484628268,1.467235134,0.796900269,0.015861833,0.038264768,NA,,17,ACRU,Mid,C4_1_NP_RM_13_986,C4_1_RM_986,C4_1,0.383379769,0.099204539,1.078514169
98,BEF,C4,1,WB,61,NP,Mid,B1,,NA,19.9,NA,20.6,23,24.3,25.5,NA,333.3,415.5,463.8,510.7,NA,333.3,415.5,463.8,510.7,NA,0.24658309,0.116238185,0.101204085,NA,0.056647933,0.027872433,0.024393829,NA,NA,,,,,,,,,,,,NA,,1,1,C4_1,Mid,0.042166068,233,7/22/2022,Mid,Third,NP,1,1,0,1,B1,4,2,,10,3.26,145.679,145.067,NA,NA,1.41,0.14,14.57,102.88,10.29,0.43,432.52,brown spots on the leaves,,7/23/2022,-1.619018711,-26.56648561,21.42254068,0.492219847,22.97672597,4.904,0.0404,8.7095,1.4676,0.7562,1.7306,1.6983,1.1598,0.0123,0.1545,NA,,,BEPA,Mid,C4_1_NP_WB_10_61,C4_1_WB_61,C4_1,0.529627751,0.165075816,2.082284281
99,BEF,C4,1,WB,92,NP,Mid,B3,,NA,18.8,NA,19.4,20.7,21.6,22.3,NA,295.6,336.5,366.4,390.6,NA,295.6,336.5,366.4,390.6,NA,0.138511,0.088846881,0.065865055,NA,0.032961911,0.021507837,0.016074509,NA,NA,,,,,,,,,,,,NA,,1,1,C4_1,Mid,0.027203237,234,7/22/2022,Mid,Third,NP,1,1,0,2,B3,3,2,,6,3.1,149.734,149.315,NA,NA,1.38,0.23,24.96,108.2,10.82,0.45,445.16,lots of herbivory. Chose leaves with the least amount of herbivory damage,,7/23/2022,-1.901237003,-27.51842145,23.45132065,0.498486147,21.25620789,4.475682376,0.039050693,6.927748951,1.808729654,0.690663706,2.122247122,2.150332721,1.246289624,0.012749001,0.126934109,NA,,,BEPA,Mid,C4_1_NP_WB_6_92,C4_1_WB_92,C4_1,0.765622584,0.19873685,2.167404866
100,BEF,C4,1,WB,938,NP,Mid,C2,77,NA,22.5,NA,23.6,26.4,27.3,28.2,NA,437.4,547.4,585.3,624.6,NA,437.4,547.4,585.3,624.6,NA,0.25136455,0.069344008,0.067020891,NA,0.057659713,0.016902606,0.016349858,NA,NA,,,,,,,Found by Matt 9/26/2011,,,,,NA,,1,1,C4_1,Mid,0.037080499,235,7/22/2022,Mid,Third,NP,1,1,0,3,C2,2,2,,6,2.16,108.587,108.192,NA,NA,0.88,0.15,18.1,122.95,12.29,0.41,407.41,Bug in sample. All damaged. Chose the ones least damaged (so most of them small),,7/23/2022,-2.274612585,-28.11310733,20.95269258,0.485710718,23.18130315,7.032495023,0.041256511,8.329493018,1.641749177,0.979149659,1.397765441,1.443424421,1.173614368,0.018968196,0.200791916,NA,,77,BEPA,Mid,C4_1_NP_WB_6_938,C4_1_WB_938,C4_1,0.367018361,0.117399302,1.704163691
101,BEF,C4,1,YB,28,NP,Mid,C1,,NA,12.5,NA,12.8,14.2,15.1,16.3,NA,128.7,158.4,179.1,208.7,NA,128.7,158.4,179.1,208.7,NA,0.230712891,0.130777623,0.16525591,NA,0.053268722,0.031203317,0.038975552,NA,NA,,,,,,,,,,,,NA,,1,1,C4_1,Mid,0.04217255,238,7/22/2022,Mid,Third,NP,1,1,0,3,C1,4,2,,5,3.84,202.667,201.801,NA,NA,1.78,0.36,40.53,113.37,11.34,0.46,463.54,Ruptured. Lots of shotgun holes and yellow spots,,7/23/2022,-1.03600387,-28.47674694,20.34110418,0.501712802,24.66497383,5.736575419,0.047058428,7.0788153,1.857138691,1.158669818,1.243416044,1.23792504,1.005093878,0.018619854,0.120741052,249,,,BEAL2,Mid,C4_1_NP_YB_5_28,C4_1_YB_28,C4_1,0.213436623,0.109193353,1.794222826
102,BEF,C4,1,YB,67,NP,Mid,C1,,NA,14.1,NA,14.7,16.2,17.3,18.8,NA,169.7,206.1,235.1,277.6,NA,169.7,206.1,235.1,277.6,NA,0.214493961,0.140413047,0.180928197,NA,0.049781318,0.033393069,0.042451535,NA,NA,,,,,,,,,,,,NA,,1,1,C4_1,Mid,0.041588913,237,7/22/2022,Mid,Third,NP,1,1,0,2,C1,4,2,,8,4.6,250.618,250.541,NA,NA,1.87,0.23,31.33,133.98,13.4,0.41,406.52,Tiny bit of herbivory,,7/23/2022,-1.070550277,-27.96822039,25.01522515,0.490800192,19.62005894,8.958257548,0.045633431,9.55513827,2.135622723,1.314107651,2.334972423,2.278431317,1.277167557,0.028844808,0.250925656,182,,,BEAL2,Mid,C4_1_NP_YB_8_67,C4_1_YB_67,C4_1,0.823487187,0.17005757,1.867086517
103,BEF,C4,2,BE,7815,N,Mid,C1,,NA,NA,NA,NA,NA,11.8,13.9,NA,0,0,109.4,151.7,NA,0,0,109.4,151.7,NA,#DIV/0!,#DIV/0!,0.387604137,NA,NA,,0.085341468,NA,NA,,,,,,,,,New addition,,,2019,out,1,0,C4_2,Mid,NA,239,7/22/2022,Mid,Third,N,1,0,0,1,C1,4,2,,6,2.94,NA,NA,NA,NA,1.22,0.2,NA,NA,NA,0.41,414.97,small brown spots and small yellow spots,,7/24/2022,missing,NA,24.43639084,0.479285489,19.61359563,6.831430555,0.170272917,7.347989183,1.026382224,1.051551661,0.905896675,0.90139429,1.267836108,0.013271596,0.024212482,NA,,,FAGR,Mid,C4_2_N_BE_6_7815,C4_2_BE_7815,C4_2,-0.103812503,NA,NA
104,BEF,C4,2,BE,984,N,Mid,A1,,NA,10.1,NA,10.4,11.4,11.8,12.6,NA,84.9,102.1,109.4,124.7,NA,84.9,102.1,109.4,124.7,NA,0.201553254,0.071406587,0.140189601,NA,0.046973661,0.017392608,0.033342446,NA,NA,,,,,,Tagged in 2009,Connected to #124,,,,,NA,,1,0,C4_2,Mid,0.032199642,241,7/22/2022,Mid,Third,N,1,0,0,3,A1,3,2,,4,1.67,232.036,231.558,NA,NA,0.91,0.23,58.01,254.46,25.45,0.54,544.91,skeletonizers and lots of damange,Y,7/24/2022,missing,NA,24.938015,0.489631394,19.63393613,4.189355953,0.055082315,9.755209249,1.212787988,0.827554402,0.958632391,0.95476161,1.366447139,0.006890662,0.028345428,NA,,,FAGR,Mid,C4_2_N_BE_4_984,C4_2_BE_984,C4_2,-0.046293593,0.037521088,0.980036744
105,BEF,C4,2,BE,985,N,Mid,A1,793,NA,12.8,NA,13.8,16.3,18.3,20.1,NA,149.6,208.7,263,317.3,NA,149.6,208.7,263,317.3,NA,0.395137576,0.260453912,0.20639613,NA,0.086811585,0.059575097,0.04802703,NA,NA,,,,,,missing,,,,,,NA,,1,0,C4_2,Mid,0.073069916,240,7/22/2022,Mid,Third,N,1,0,0,2,A1,2,2,,10,3.1,351.394,351.394,NA,NA,1.43,0.14,35.14,245.73,24.57,0.46,461.29,little brown spots,,7/24/2022,-0.760613471,-29.86472047,23.72994143,0.492058816,20.73577877,4.415271481,0.053600126,7.804066919,1.114811107,0.883843175,0.929038103,0.954420041,1.296469603,0.007589535,0.022780639,NA,,793,FAGR,Mid,C4_2_N_BE_10_985,C4_2_BE_985,C4_2,-0.04665141,0.038840192,0.965691671
106,BEF,C4,2,RM,1890,N,Mid,B3,192,NA,NA,NA,13.4,15.2,17.3,19.7,NA,141,181.5,235.1,304.8,NA,141,181.5,235.1,304.8,NA,0.286700824,0.295403393,0.296702195,NA,0.065048524,0.066844832,0.067112142,NA,NA,,,,,,,,,,,,NA,,1,0,C4_2,Mid,0.065992599,243,7/22/2022,Mid,Third,N,1,0,0,2,B3,4,2,,5,2.53,126.196,125.998,NA,NA,1.1,0.22,25.24,114.54,11.45,0.43,434.78,little brown spots,,7/24/2022,-2.364466542,-28.33861691,20.76871466,0.505621349,24.34533662,4.071086104,0.045465463,9.355200187,1.484446055,0.858603536,1.151460914,1.13574477,1.168262099,0.005446764,0.018906259,NA,,192,ACRU,Mid,C4_2_N_RM_5_1890,C4_2_RM_1890,C4_2,0.127288621,0.099157043,1.8132281
107,BEF,C4,2,RM,2789,N,Mid,C3,,NA,NA,NA,NA,11.3,12.6,13.85,NA,0,100.3,124.7,150.7,NA,0,100.3,124.7,150.7,NA,#DIV/0!,0.243323675,0.208254598,NA,NA,0.055956556,0.048430422,NA,NA,,,,,,,,New addition; Outside 5X5 m veg plot,,,,2015,out,1,0,C4_2,Mid,NA,242,7/22/2022,Mid,Third,N,1,0,0,1,C3,2,2,,4,2.74,191.317,191.317,NA,NA,1.14,0.29,47.83,167.82,16.78,0.42,416.06,dark spots and minor herbivory,,7/24/2022,-2.104271797,-31.0744983,20.65564515,0.490054144,23.72494978,7.316451402,0.049311558,8.803071181,1.323305303,1.090326738,1.102843694,1.086322088,1.070353744,0.015978057,0.024322835,NA,,,ACRU,Mid,C4_2_N_RM_4_2789,C4_2_RM_2789,C4_2,0.082797759,0.064731384,1.230821425
108,BEF,C4,2,WB,105,N,Mid,A3,,NA,14.5,NA,15.4,16.5,17.5,18.3,NA,186.3,213.8,240.5,263,NA,186.3,213.8,240.5,263,NA,0.147959184,0.124885216,0.093518367,NA,0.035098339,0.029857301,0.022601724,NA,NA,,,,,,,,,,,,NA,,1,0,C4_2,Mid,0.032435141,246,7/22/2022,Mid,Third,N,1,0,0,2,A3,2,2,,6,3.31,171.335,171.188,NA,NA,1.29,0.22,28.56,132.7,13.27,0.39,389.73,minor insect damage,,7/24/2022,-1.201650942,-27.83869914,25.15103321,0.494827669,19.67424816,5.265504499,0.042154719,7.166930733,1.509681971,1.150589863,0.906760636,0.914215806,1.328144793,0.013786347,0.154152716,NA,,,BEPA,Mid,C4_2_N_WB_6_105,C4_2_WB_105,C4_2,-0.089688624,0.068893429,1.89533031
109,BEF,C4,2,WB,1896,N,Mid,A2,"107, 909",NA,17.9,NA,18.5,20.1,20.9,22,NA,268.8,317.3,343.1,380.1,NA,268.8,317.3,343.1,380.1,NA,0.180452885,0.081186109,0.108033241,NA,0.042346625,0.019706328,0.025978352,NA,NA,,,,,,,,,,,,NA,,1,0,C4_2,Mid,0.030976893,247,7/22/2022,Mid,Third,N,1,0,0,3,A2,3,2,,5,2.99,152.959,152.898,NA,NA,1.12,0.22,30.59,136.52,13.65,0.37,374.58,minor insect damage,,7/24/2022,-1.861556591,-28.71467537,27.26905883,0.510020208,18.70325673,6.685585445,0.039743466,7.586559642,1.581738563,1.427948871,0.884321179,0.892059786,1.295071028,0.015861958,0.166220012,NA,,"107, 909",BEPA,Mid,C4_2_N_WB_5_1896,C4_2_WB_1896,C4_2,-0.114222124,0.065342791,1.997440582
110,BEF,C4,2,WB,193,N,Mid,B3,,NA,NA,NA,19.9,21,21.7,22.65,NA,311,346.4,369.8,402.9,NA,311,346.4,369.8,402.9,NA,0.113608242,0.067777778,0.089474187,NA,0.027266461,0.016530045,0.021654933,NA,NA,,,,,,,,,,,,NA,,1,0,C4_2,Mid,0.021882154,245,7/22/2022,Mid,Third,N,1,0,0,1,B3,2,2,,8,4.37,214.284,214.26,NA,NA,1.69,0.21,26.79,126.78,12.68,0.39,386.73,"insects on leaves, damaged",,7/24/2022,-1.177801489,-28.44357692,24.51953684,0.49901461,20.35171436,5.230228142,0.051799718,8.854146106,1.28755596,1.060376945,0.811203171,0.832465021,1.275619035,0.01278141,0.156848951,NA,,,BEPA,Mid,C4_2_N_WB_8_193,C4_2_WB_193,C4_2,-0.183364075,0.065662172,1.934022467
111,BEF,C4,2,YB,120,N,Mid,A1,,NA,10.2,NA,10.4,11.1,11.6,11.9,NA,84.9,96.8,105.7,111.2,NA,84.9,96.8,105.7,111.2,NA,0.13914571,0.092119146,0.052392985,NA,0.033105848,0.022274447,0.012848493,NA,NA,,,,,,,,,,,,NA,,1,0,C4_2,Mid,0.027769942,249,7/22/2022,Mid,Third,N,1,0,0,2,A1,5,2,Hard to shoot,6,3.22,231.346,231.346,NA,NA,1.09,0.18,38.56,212.24,21.22,0.34,338.51,tiny brown spots and skeletonizer damage,,7/24/2022,-0.984994228,-29.39074216,34.71721161,0.494202172,14.23507677,7.954311937,0.069716468,13.77504838,1.878546684,1.763764959,1.417332931,1.382840453,1.450459926,0.018885753,0.183530082,207,,,BEAL2,Mid,C4_2_N_YB_6_120,C4_2_YB_120,C4_2,0.324139683,0.065154563,1.635752526
112,BEF,C4,2,YB,1879,N,Mid,C3,166,NA,13.5,NA,14.1,14.7,15.7,16.6,NA,156.1,169.7,193.6,216.4,NA,156.1,169.7,193.6,216.4,NA,0.086917157,0.140682123,0.117935819,NA,0.02105494,0.03345402,0.028263021,NA,NA,,,,,,,,,,,,NA,,1,0,C4_2,Mid,0.027277571,248,7/22/2022,Mid,Third,N,1,0,0,1,C3,2,2,,10,4.66,335.604,335.58,NA,NA,1.5,0.15,33.56,223.72,22.37,0.32,321.89,tiny holes and brown spots,,7/24/2022,-1.113061502,-29.34787728,30.93575828,0.485938801,15.7079971,8.433810025,0.061964907,14.1284088,1.9911099,2.001615586,1.281494161,1.299047911,1.440531345,0.019383058,0.255542188,232,,166,BEAL2,Mid,C4_2_N_YB_10_1879,C4_2_YB_1879,C4_2,0.26163162,0.058065793,1.382789124
113,BEF,C4,2,YB,990,N,Mid,B2,201,NA,11.4,NA,11.6,13.3,13.9,15,NA,105.7,138.9,151.7,176.7,NA,105.7,138.9,151.7,176.7,NA,0.314580856,0.092260727,0.164535997,NA,0.070771556,0.022307577,0.038815042,NA,NA,,,,,,,,,,,,NA,,1,0,C4_2,Mid,0.046197852,250,7/22/2022,Mid,Third,N,1,0,0,3,B2,2,2,,8,2.75,209.136,209.136,NA,NA,0.98,0.12,26.14,213.4,21.34,0.36,356.36,little brown and white spots,,7/24/2022,missing,NA,33.31143797,0.485669042,14.57964805,7.855363783,0.046702306,7.694442799,1.892390212,1.630454776,1.23754862,1.205115914,1.311903244,0.018089587,0.220443335,200,,201,BEAL2,Mid,C4_2_N_YB_8_990,C4_2_YB_990,C4_2,0.186575757,0.056472161,1.560985847
114,BEF,C4,3,BE,1752,Control,Mid,B2,134,NA,10.5,NA,11.4,13.3,15.2,16.25,NA,102.1,138.9,181.5,207.4,NA,102.1,138.9,181.5,207.4,NA,0.361111111,0.306122449,0.142929796,NA,0.08012345,0.069044968,0.03396274,NA,NA,,,,,,Tagged in 2009,,,,,,NA,,0,0,C4_3,Mid,0.074561709,251,7/22/2022,Mid,Third,Control,0,0,0,1,B2,1,1,,20,7.02,563.663,563.627,NA,NA,3.18,0.16,28.18,177.24,17.72,0.45,452.99,tiny brown spots,,7/24/2022,-2.293421558,-29.52928838,22.55334669,0.479257816,21.27053369,7.849830866,0.04520817,10.80118565,1.545361713,1.61155708,1.150998709,1.152880874,1.373943659,0.01817818,0.029406857,NA,,134,FAGR,Mid,C4_3_Control_BE_20_1752,C4_3_BE_1752,C4_3,0.142263918,0.065046314,1.272474988
115,BEF,C4,3,BE,731,Control,Mid,C1,,NA,10.3,NA,10.6,12.2,13,14.1,NA,88.2,116.9,132.7,156.1,NA,88.2,116.9,132.7,156.1,NA,0.324670701,0.13544746,0.176390533,NA,0.0728203,0.032266327,0.041448695,NA,NA,,,,,,Tagged in 2009,,,,,,NA,,0,0,C4_3,Mid,0.052386558,253,7/22/2022,Mid,Third,Control,0,0,0,3,C1,2,2,,4,1.82,143.723,142.886,NA,NA,0.85,0.21,35.93,168.1,16.81,0.47,467.03,"insect damage, brown spots, and chlorosis ",,7/24/2022,-2.05150115,-28.85721512,25.53844267,0.488792805,19.13949143,9.01412119,0.04298371,8.825573463,1.422671846,1.592551747,1.04582494,1.011049827,1.369787406,0.025143662,0.02735176,NA,,,FAGR,Mid,C4_3_Control_BE_4_731,C4_3_BE_731,C4_3,0.010989224,0.060145736,1.519241087
116,BEF,C4,3,BE,933,Control,Mid,A1,,NA,11.2,NA,11.9,13.5,14.7,16.1,NA,111.2,143.1,169.7,203.6,NA,111.2,143.1,169.7,203.6,NA,0.286985382,0.185679012,0.199546485,NA,0.065107404,0.043498389,0.046536237,NA,NA,,,,,,Tagged in 2009,,,,,,NA,,0,0,C4_3,Mid,0.05425855,252,7/22/2022,Mid,Third,Control,0,0,0,2,A1,2,2,,4,2.25,146.613,146.425,NA,NA,1.06,0.27,36.65,138.14,13.81,0.47,471.11,insect damage and chlorosis; one leaf fell on counter while weighing,,7/24/2022,-2.00997619,-28.34575774,25.56434629,0.496862881,19.43577495,4.247510291,0.046278568,9.202590712,0.834513099,1.103982677,1.125270364,1.061410336,1.265598702,0.00643456,0.0196081,NA,,,FAGR,Mid,C4_3_Control_BE_4_933,C4_3_BE_933,C4_3,0.059598529,0.076835843,1.85061143
117,BEF,C4,3,RM,156,Control,Mid,C2,237,NA,15.2,NA,15.8,17.7,19.6,21.6,NA,196.1,246.1,301.7,366.4,NA,196.1,246.1,301.7,366.4,NA,0.254967153,0.226212136,0.214493961,NA,0.058420127,0.052304439,0.049781318,NA,NA,,,,,,,,,,,,NA,,0,0,C4_3,Mid,0.055327401,256,7/22/2022,Mid,Third,Control,0,0,0,3,C2,3,2,,5,3.8,195.351,195.007,NA,NA,1.69,0.34,39.07,115.39,11.54,0.44,444.74,"insect damage, chlorotic, avoided samples with gulves",,7/24/2022,-4.413708168,-29.69653844,18.45165363,0.49400833,26.77311963,4.285604072,0.048287505,5.903925393,1.316816952,1.072985129,1.035810317,1.032078133,1.033614188,0.009925905,0.019950314,NA,,,ACRU,Mid,C4_3_Control_RM_5_156,C4_3_RM_156,C4_3,0.031574374,0.089442598,1.599068691
118,BEF,C4,3,RM,445,Control,Mid,C2,232,NA,18.1,NA,19.5,22.5,25.1,27.1,NA,298.6,397.6,494.8,576.8,NA,298.6,397.6,494.8,576.8,NA,0.331360947,0.244464198,0.165711655,NA,0.074172311,0.056198635,0.039077127,NA,NA,,,,,,,,,,,,NA,,0,0,C4_3,Mid,0.065166467,254,7/22/2022,Mid,Third,Control,0,0,0,1,C2,2,2,,5,3.68,223.336,223.151,NA,NA,1.53,0.31,44.67,145.85,14.59,0.42,415.76,minor insect damage,,7/24/2022,-4.123095209,-30.31037904,15.80859123,0.494106327,31.25555716,6.067552906,0.034059145,6.794646992,1.320012145,1.259740327,0.924734865,0.887501529,0.959324235,0.017007971,0.025615915,NA,,,ACRU,Mid,C4_3_Control_RM_5_445,C4_3_RM_445,C4_3,-0.119345035,0.060850293,1.083893811
119,BEF,C4,3,RM,456,Control,Mid,C2,,NA,11.1,NA,11.6,12.6,13.5,14.2,NA,105.7,124.7,143.1,158.4,NA,105.7,124.7,143.1,158.4,NA,0.179845422,0.147959184,0.106392318,NA,0.042212501,0.035098339,0.02559829,NA,NA,,,,,,Tagged in 2009,Identified as BE in 2009; RM in 2011.  Confirmed RM by Matt,,,,,NA,,0,0,C4_3,Mid,0.038593453,255,7/22/2022,Mid,Third,Control,0,0,0,2,C2,3,2,,6,2.34,140.154,139.364,NA,NA,1.12,0.19,23.36,124.43,12.44,0.48,478.63,"brown spots, very chewed-up, chose small leaves",,7/24/2022,-4.861949802,-27.82286426,15.70021945,0.502649738,32.01545935,4.438760459,0.053774104,7.5762752,1.297646567,0.863720448,1.123890578,1.160846297,1.06366832,0.008977054,0.017603068,NA,,,ACRU,Mid,C4_3_Control_RM_6_456,C4_3_RM_456,C4_3,0.149149305,0.09329312,1.261771233
120,BEF,C4,3,WB,256,Control,Mid,B1,,NA,11.5,NA,12.2,12.5,12.4,12.3,NA,116.9,122.7,120.8,118.8,NA,116.9,122.7,120.8,118.8,NA,0.049785004,-0.015936,-0.016063996,NA,0.012220413,-0.004008032,-0.004040421,NA,NA,,,,,,,,,Checked,Checked,,NA,,0,0,C4_3,Mid,0.004110603,258,7/22/2022,Mid,Third,Control,0,0,0,2,B1,3,2,"sparse canopy, hard to shoot",7,2.01,109.471,108.736,NA,NA,0.88,0.13,15.64,123.56,12.36,0.44,437.81,"insect damage, small leaves",,7/24/2022,-3.322205124,-27.74180168,18.23623679,0.502684808,27.56516129,4.098638784,0.067981866,8.939581379,0.932273932,0.997160963,1.337833902,1.372102937,1.055524615,0.010277166,0.177118647,NA,,,BEPA,Mid,C4_3_Control_WB_7_256,C4_3_WB_256,C4_3,0.316344553,0.111047502,1.475901326
121,BEF,C4,3,WB,279,Control,Mid,B2,,NA,14.9,NA,15.6,16.6,17.4,19.3,NA,191.1,216.4,237.8,292.6,NA,191.1,216.4,237.8,292.6,NA,0.132314267,0.098708085,0.23031444,NA,0.031553471,0.023812859,0.053183461,NA,NA,,,,,,,,,,,,NA,,0,0,C4_3,Mid,0.027706008,257,7/22/2022,Mid,Third,Control,0,0,0,1,B2,1,2,,9,4.17,210.542,210.35,NA,NA,1.68,0.19,23.39,125.21,12.52,0.4,402.88,"little brown spots, a fuzzy bug found on the leaves (not chosen)",,7/24/2022,-2.042046251,-28.28740774,23.37742421,0.498614226,21.32887787,5.381178431,0.042935407,10.14394799,1.352388912,1.32267647,0.950797608,0.960432063,1.210002083,0.016098823,0.135928234,NA,,,BEPA,Mid,C4_3_Control_WB_9_279,C4_3_WB_279,C4_3,-0.04037203,0.076705699,1.867057281
122,BEF,C4,3,YB,2511,Control,Mid,C3,,NA,NA,NA,NA,10.1,10.8,11.3,NA,0,80.1,91.6,100.3,NA,0,80.1,91.6,100.3,NA,#DIV/0!,0.143417312,0.09473594,NA,NA,0.034072981,0.022886258,NA,NA,,,,,,,,New addition; Inside 5X5 m veg plot,,,,2015,in,0,0,C4_3,Mid,NA,262,7/22/2022,Mid,Third,Control,0,0,0,3,C3,3,2,,7,3.36,247.018,246.449,NA,NA,1.15,0.16,35.29,214.3,21.43,0.34,342.26,little insect damage,,7/24/2022,-3.001672701,-30.53762222,23.36173449,0.488358006,20.9041844,8.448828488,0.060373683,10.25992979,1.925684468,2.465551098,1.237015059,1.253053297,1.157170487,0.022028986,0.229072416,204,,,BEAL2,Mid,C4_3_Control_YB_7_2511,C4_3_YB_2511,C4_3,0.225583211,0.058471922,1.0901416
